,predictions,labels
0,5,5
1,4,4
2,3,3
3,0,0
4,5,5
5,5,5
6,1,3
7,0,1
8,0,0
9,2,0
10,4,4
11,1,3
12,5,5
13,3,3
14,5,5
15,5,5
16,5,1
17,3,3
18,2,0
19,5,5
20,3,3
21,0,0
22,4,4
23,0,0
24,2,0
25,3,3
26,2,0
27,4,4
28,4,4
29,4,4
30,5,5
31,4,4
32,0,0
33,5,5
34,5,5
35,5,5
36,4,4
37,5,5
38,5,5
39,5,5
40,2,1
41,2,0
42,2,0
43,0,0
44,1,1
45,1,1
46,5,5
47,2,0
48,5,5
49,1,3
50,0,0
51,3,3
52,3,3
53,0,0
54,0,0
55,2,0
56,5,5
57,4,4
58,4,4
59,5,5
60,4,4
61,1,3
62,4,4
63,0,1
64,4,4
65,3,3
66,1,1
67,0,0
68,5,5
69,4,4
70,5,5
71,5,5
72,4,4
73,3,3
74,4,4
75,2,0
76,1,1
77,5,5
78,5,5
79,3,3
80,0,0
81,5,5
82,3,3
83,5,5
84,5,5
85,0,0
86,2,0
87,3,3
88,0,0
89,4,4
90,5,1
91,0,0
92,5,5
93,5,5
94,4,3
95,4,4
96,5,5
97,0,0
98,0,0
99,5,1
100,0,0
101,3,3
102,0,0
103,1,3
104,4,4
105,0,0
106,5,5
107,1,1
108,5,5
109,4,4
110,0,1
111,0,0
112,5,5
113,3,3
114,1,1
115,3,3
116,5,5
117,0,1
118,5,5
119,4,4
120,5,5
121,5,5
122,0,0
123,3,3
124,5,5
125,3,3
126,5,5
127,5,5
128,0,0
129,5,5
130,5,5
131,3,3
132,2,0
133,1,1
134,2,0
135,4,1
136,4,4
137,3,3
138,1,3
139,2,0
140,0,0
141,1,1
142,4,4
143,1,1
144,2,0
145,5,1
146,3,3
147,5,1
148,2,0
149,2,0
150,2,1
151,3,3
152,0,0
153,5,5
154,5,3
155,4,4
156,4,4
157,0,0
158,3,4
159,4,4
160,0,0
161,2,0
162,5,5
163,4,4
164,5,1
165,4,4
166,5,5
167,2,0
168,4,4
169,3,3
170,5,5
171,5,5
172,5,5
173,2,0
174,4,4
175,4,4
176,4,4
177,5,5
178,1,1
179,5,5
180,4,4
181,2,0
182,4,4
183,0,0
184,5,1
185,3,3
186,3,3
187,2,0
188,4,4
189,1,1
190,5,1
191,5,5
192,5,5
193,4,5
194,2,0
195,4,4
196,5,1
197,3,3
198,1,1
199,0,1
200,1,1
201,4,4
202,3,3
203,1,1
204,5,5
205,4,4
206,3,3
207,5,5
208,0,0
209,0,0
210,5,5
211,5,5
212,4,4
213,4,4
214,2,0
215,5,1
216,2,0
217,4,1
218,5,5
219,2,0
220,0,0
221,5,5
222,2,0
223,5,1
224,4,4
225,0,1
226,5,5
227,0,0
228,4,4
229,3,3
230,5,5
231,3,3
232,2,0
233,5,5
234,0,1
235,2,0
236,4,4
237,2,0
238,4,4
239,5,5
240,4,4
241,2,0
242,0,0
243,2,0
244,0,0
245,4,4
246,0,0
247,2,0
248,0,0
249,0,1
250,3,3
251,4,4
252,1,1
253,0,1
254,2,0
255,4,4
256,5,5
257,1,1
258,2,0
259,5,5
260,3,3
261,3,3
262,5,5
263,1,1
264,5,5
265,2,0
266,0,0
267,4,4
268,5,5
269,0,0
270,4,1
271,0,0
272,0,0
273,3,3
274,2,0
275,2,0
276,2,0
277,5,5
278,2,2
279,0,1
280,4,4
281,1,3
282,2,2
283,0,0
284,4,4
285,0,0
286,2,0
287,0,0
288,2,0
289,2,0
290,4,4
291,2,1
292,5,5
293,0,1
294,2,0
295,2,0
296,2,1
297,5,5
298,0,1
299,1,1
300,2,2
301,5,5
302,0,0
303,5,5
304,5,5
305,4,4
306,3,3
307,5,4
308,3,3
309,5,5
310,4,4
311,4,4
312,5,5
313,2,0
314,4,4
315,0,0
316,3,3
317,4,4
318,0,1
319,5,4
320,2,0
321,5,5
322,2,2
323,0,1
324,5,5
325,2,2
326,0,0
327,2,5
328,5,5
329,0,0
330,2,0
331,5,5
332,1,1
333,1,1
334,5,5
335,4,4
336,2,0
337,1,1
338,0,0
339,5,5
340,5,5
341,2,1
342,5,5
343,3,3
344,5,5
345,3,3
346,1,1
347,0,0
348,5,5
349,2,0
350,5,5
351,4,4
352,2,1
353,1,1
354,0,0
355,3,3
356,5,5
357,5,5
358,0,0
359,1,1
360,0,0
361,2,0
362,4,1
363,5,5
364,2,0
365,4,5
366,0,1
367,0,1
368,2,0
369,4,4
370,5,5
371,5,1
372,0,0
373,0,0
374,0,1
375,5,5
376,4,4
377,0,0
378,2,2
379,0,0
380,3,3
381,3,3
382,1,1
383,3,3
384,5,5
385,5,5
386,2,0
387,3,3
388,2,0
389,0,0
390,3,3
391,2,0
392,1,1
393,5,5
394,2,0
395,0,0
396,0,0
397,5,5
398,5,5
399,4,4
400,1,3
401,5,1
402,5,5
403,2,2
404,5,5
405,4,4
406,2,0
407,4,4
408,5,5
409,0,0
410,3,3
411,0,1
412,4,4
413,2,2
414,2,1
415,0,0
416,0,0
417,0,0
418,3,3
419,3,3
420,5,5
421,4,4
422,1,1
423,0,0
424,4,4
425,4,1
426,0,0
427,4,4
428,2,0
429,3,3
430,0,0
431,1,1
432,4,4
433,3,3
434,0,0
435,0,0
436,0,0
437,5,5
438,2,2
439,5,1
440,3,3
441,5,1
442,4,4
443,2,1
444,3,3
445,1,1
446,4,4
447,3,3
448,5,5
449,1,1
450,5,1
451,1,1
452,0,1
453,5,5
454,5,5
455,5,5
456,0,1
457,4,4
458,0,0
459,2,0
460,2,3
461,1,1
462,4,4
463,5,5
464,4,4
465,1,1
466,0,0
467,4,3
468,0,0
469,2,0
470,0,0
471,0,0
472,2,1
473,5,5
474,1,1
475,5,1
476,0,0
477,4,4
478,0,1
479,4,4
480,4,1
481,5,1
482,0,1
483,2,0
484,4,4
485,2,0
486,4,4
487,5,5
488,0,1
489,1,1
490,2,0
491,0,0
492,0,1
493,5,5
494,5,5
495,3,3
496,5,1
497,5,5
498,5,1
499,2,0
